kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
poly;0.1;scale;3;0;0.9879733333333333;0.008910705172244607;0.98668;0.012575668116304143;0.9873;0.009431406500168929;0.99094;0.006514905985507388;15
poly;0.1;scale;3;1;0.9886277777777779;0.008141744686241886;0.9881777777777777;0.009641976582542646;0.9884;0.00864529793995489;0.9917055555555555;0.005986992982067067;18
poly;0.1;scale;3;10;0.98898;0.008140656344195208;0.9887466666666666;0.008928755045730994;0.9888666666666667;0.008383969965413324;0.9920399999999999;0.0057855484985065665;15
poly;0.1;scale;3;100;0.98902;0.008123440509678503;0.9887666666666667;0.008938493534520605;0.9889;0.0083825499018582;0.99206;0.005787646943521795;15
poly;0.1;scale;4;0;0.98676;0.010327757328121698;0.9850266666666666;0.014742769010441624;0.9858533333333334;0.010630472820197258;0.9899;0.0073140764478992325;15
poly;0.1;scale;4;1;0.9888222222222223;0.00813500464988157;0.9884166666666666;0.009371938715875048;0.9886166666666667;0.00854649911126326;0.9918611111111111;0.005896473411524087;18
poly;0.1;scale;4;10;0.9891266666666667;0.008121881086358779;0.9889133333333333;0.008795604963086203;0.9890266666666666;0.008302535470450897;0.9921333333333333;0.005753094405456524;15
poly;0.1;scale;4;100;0.9890666666666666;0.008057708524553783;0.9887933333333333;0.008947023979806821;0.9889266666666666;0.008357927517091327;0.9920933333333333;0.0057632414820960294;15
poly;0.1;scale;5;0;0.9844933333333333;0.013521330591046897;0.9816;0.019926615367392438;0.9829266666666666;0.012854430401709032;0.9878266666666667;0.008805798955125833;15
poly;0.1;scale;5;1;0.9887733333333333;0.008253957203899808;0.9884133333333334;0.009368478048881832;0.9885933333333334;0.00862732094376155;0.9918466666666667;0.0059518144492327245;15
poly;0.1;scale;5;10;0.9894533333333333;0.0077476140720562385;0.98908;0.008875825917304016;0.9892666666666667;0.008116268201815997;0.99232;0.005613911292494741;15
poly;0.1;scale;5;100;0.9888666666666667;0.008230836328506767;0.9886066666666667;0.009060311147815957;0.98874;0.00851635401532169;0.9919333333333333;0.005896084253452416;15
